Binary search lab performance results,,,
,,,
,Fill in every yellow cell with an execution time,,
7-char words,Vector,HashSet,BinarySearch
message,1.859,0.005,0.01
message,1.86,0.006,0.012
message,1.845,0.003,0.009
,,,
escaper,2.35,0.003,0.008
escaper,1.271,0.002,0.013
escaper,1.264,0.018,0.006
,,,
relapse,2.326,0.003,0.027
relapse,2.365,0.006,0.003
relapse,1.261,0.007,0.011
,,,
8-char words,,,
strainer,12.519,0.041,0.028
strainer,XXXXXXXX,0.021,0.028
strainer,XXXXXXXX,0.016,0.033
,,,
qwertyui,12.972,0.058,0.028
qwertyui,XXXXXXXX,0.033,0.029
qwertyui,XXXXXXXX,0.025,0.053
